Date      ,Open              ,High              ,Low               ,Close             ,Adj Close         ,Volume
2017-05-30,86.18             ,86.889999         ,85.629997         ,85.93             ,84.12447399999999 ,2180300
2017-05-31,85.739998         ,87.059998         ,84.349998         ,86.959999         ,85.132828         ,1871600
2017-06-01,87.160004         ,89.83000200000001 ,87.010002         ,89.239998         ,87.36492199999999 ,2274100
2017-06-02,89.989998         ,90.629997         ,89.239998         ,89.989998         ,88.09916700000001 ,2957000
2017-06-05,90.0              ,91.349998         ,89.209999         ,91.040001         ,89.127098         ,2316000
2017-06-06,90.940002         ,91.790001         ,90.239998         ,91.599998         ,89.67533900000001 ,2234200
2017-06-07,92.0              ,92.83000200000001 ,91.660004         ,92.269997         ,90.331253         ,2041400
2017-06-08,92.269997         ,94.449997         ,92.269997         ,93.660004         ,91.69206199999999 ,2629000
2017-06-09,93.889999         ,94.75             ,93.160004         ,94.690002         ,92.700417         ,2075200
2017-06-12,94.43             ,94.610001         ,93.040001         ,93.139999         ,91.182991         ,2417500
2017-06-13,92.839996         ,92.949997         ,91.730003         ,91.839996         ,89.910286         ,1245500
2017-06-14,91.699997         ,91.739998         ,90.41999799999999 ,91.5              ,89.577438         ,1016800
2017-06-15,91.160004         ,91.360001         ,90.150002         ,91.019997         ,89.10752099999999 ,1700000
2017-06-16,90.120003         ,92.08000200000001 ,90.010002         ,92.08000200000001 ,90.64318100000001 ,1832600
2017-06-19,92.349998         ,94.18             ,91.900002         ,93.900002         ,92.434784         ,1387600
2017-06-20,93.839996         ,93.879997         ,92.199997         ,92.279999         ,90.840057         ,855700
2017-06-21,92.629997         ,92.900002         ,90.300003         ,91.309998         ,89.885193         ,1189500
2017-06-22,91.349998         ,91.650002         ,90.610001         ,91.43             ,90.003326         ,799300
2017-06-23,91.410004         ,91.839996         ,90.599998         ,91.790001         ,90.357712         ,987700
2017-06-26,91.690002         ,92.5              ,91.550003         ,92.309998         ,90.869591         ,674200
2017-06-27,93.33000200000001 ,94.58000200000001 ,93.33000200000001 ,93.690002         ,92.228065         ,1845500
2017-06-28,94.099998         ,94.730003         ,93.760002         ,93.889999         ,92.424934         ,1248000
2017-06-29,94.019997         ,94.019997         ,91.760002         ,92.519997         ,91.076317         ,1507200
2017-06-30,93.129997         ,94.58000200000001 ,92.970001         ,93.870003         ,92.405251         ,1831600
2017-07-03,94.389999         ,94.900002         ,93.599998         ,93.68             ,92.21820799999999 ,585300
2017-07-05,93.209999         ,93.809998         ,92.769997         ,93.07             ,91.617737         ,1531700
2017-07-06,92.730003         ,93.360001         ,91.269997         ,93.050003         ,91.59805300000001 ,1380400
2017-07-07,93.050003         ,94.5              ,92.629997         ,93.839996         ,92.37571700000001 ,1040300
2017-07-10,93.480003         ,93.720001         ,91.08000200000001 ,91.33000200000001 ,89.904884         ,1861200
2017-07-11,91.33000200000001 ,91.489998         ,90.239998         ,90.839996         ,89.422523         ,1171100
2017-07-12,91.459999         ,92.58000200000001 ,91.459999         ,92.459999         ,91.017258         ,1017300
2017-07-13,93.440002         ,94.839996         ,93.160004         ,94.040001         ,92.572594         ,1497300
2017-07-14,93.989998         ,94.08000200000001 ,91.400002         ,91.900002         ,90.465988         ,1087200
2017-07-17,91.900002         ,92.389999         ,91.480003         ,92.160004         ,90.721939         ,1911000
2017-07-18,92.0              ,92.400002         ,91.41999799999999 ,91.790001         ,90.357712         ,490300
2017-07-19,91.5              ,92.25             ,91.489998         ,91.860001         ,90.426613         ,1021900
2017-07-20,92.309998         ,92.769997         ,91.699997         ,92.629997         ,91.184601         ,959200
2017-07-21,92.57             ,93.75             ,92.230003         ,93.709999         ,92.247742         ,743200
2017-07-24,93.75             ,93.790001         ,93.220001         ,93.440002         ,91.981964         ,716100
2017-07-25,94.0              ,95.440002         ,93.589996         ,95.040001         ,93.556999         ,948100
2017-07-26,94.989998         ,95.5              ,94.339996         ,95.089996         ,93.60620899999999 ,809300
2017-07-27,95.300003         ,95.449997         ,94.290001         ,95.190002         ,93.704651         ,839900
2017-07-28,95.230003         ,96.489998         ,94.629997         ,96.339996         ,94.8367           ,1140600
2017-07-31,96.559998         ,96.940002         ,95.099998         ,95.510002         ,94.019661         ,1261700
2017-08-01,95.690002         ,96.139999         ,94.75             ,95.860001         ,94.36419699999999 ,924000
2017-08-02,94.809998         ,95.459999         ,91.269997         ,92.440002         ,90.997566         ,3405800
2017-08-03,92.5              ,93.32             ,92.459999         ,92.849998         ,91.401161         ,1897400
2017-08-04,93.18             ,93.360001         ,92.370003         ,93.0              ,91.54881999999999 ,1540000
2017-08-07,92.410004         ,93.07             ,91.489998         ,92.160004         ,90.721939         ,1973800
2017-08-08,92.519997         ,92.900002         ,90.870003         ,91.32             ,89.895042         ,2097500
2017-08-09,90.959999         ,91.32             ,90.43             ,91.239998         ,89.816284         ,2052200
2017-08-10,90.620003         ,90.949997         ,89.300003         ,89.339996         ,87.94593          ,1503300
2017-08-11,88.949997         ,90.68             ,88.760002         ,90.290001         ,88.881111         ,910100
2017-08-14,90.93             ,91.57             ,90.41999799999999 ,90.730003         ,89.314247         ,784800
2017-08-15,89.709999         ,90.699997         ,86.849998         ,88.110001         ,86.735123         ,1464900
2017-08-16,88.66999799999999 ,89.510002         ,87.620003         ,89.379997         ,87.985313         ,1040800
2017-08-17,89.099998         ,89.529999         ,88.18             ,88.370003         ,86.99108100000001 ,958700
2017-08-18,88.230003         ,88.980003         ,87.720001         ,88.029999         ,86.65638          ,1289800
2017-08-21,88.099998         ,88.610001         ,87.620003         ,87.82             ,86.44965400000001 ,1587600
2017-08-22,88.290001         ,88.879997         ,87.91999799999999 ,88.5              ,87.11904100000001 ,1174400
2017-08-23,88.059998         ,89.099998         ,87.900002         ,88.720001         ,87.33560899999999 ,2471500
