Rank,StrategyAndRecommendation,Stockname,Ticker,Exchange,StopBuy,StopLoss,PositionSize,RiskModels,Target Price,Stock Current Prize,Pos. Probability Distribution,Original News
-2.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-25 11:36:57.989294']},CONTINENTAL,CONG-U,,0,0,0,FixedSizeRiskModel,220.0,0,0.43,23.08.2018 um 12:22, ANALYSE FLASH: Kepler Cheuvreux senkt  f�r Continental auf 220 �   buy
3.0,{'SimplePatternNewsStrategy': ['BUY', '2018-08-25 11:36:57.990295']},Hancock Horizon LA Tax-Free Income Inv,HHLAX,,0,0,0,FixedSizeRiskModel,22.0,0,0.89,23.08.2018 um 12:25, ANALYSE FLASH: Warburg Research hebt HHLA auf buy und  auf 22 �
-3.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-25 11:36:57.991294']},CONTINENTAL,CONG-U,,0,0,0,FixedSizeRiskModel,180.0,0,0.07,23.08.2018 um 12:28, ANALYSE FLASH: Mainfirst senkt Continental AG auf neutral    180 �
-2.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-25 11:36:57.991294']},SOFTWARE,SOW-U,,0,0,0,FixedSizeRiskModel,32.0,0,0.43,23.08.2018 um 15:12, ANALYSE FLASH: Kepler Cheuvreux bel�sst RIB Software auf buy    32 �
-3.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-25 11:36:57.992293']},Fresenius,FRE,,0,0,0,FixedSizeRiskModel,66.0,0,0.07,24.08.2018 um 07:19, ANALYSE FLASH: Goldman senkt  f�r Fresenius SE auf 66 �   neutral
-3.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-25 11:36:57.993292']},Hamborner REIT AG,HAB,,0,0,0,FixedSizeRiskModel,0,0,0.19,24.08.2018 um 07:29, ANALYSE FLASH: HSBC senkt Hamborner Reit auf hold    runter auf 10.40 �
-2.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-25 11:36:57.993292']},Alibaba Group Holding Limited,BABA,,212.76,206.38,11,FixedSizeRiskModel,196.0,174.23,0.43,24.08.2018 um 08:28, ANALYSE FLASH: Deutsche Bank senkt  f�r Alibaba auf 196$  buy
3.0,{'SimplePatternNewsStrategy': ['BUY', '2018-08-25 11:36:57.994292']},Aareal Bank AG,ARL,,21.68,21.03,115,FixedSizeRiskModel,41.0,17.57,0.89,24.08.2018 um 09:02, ANALYSE FLASH: Equinet hebt Aareal Bank auf buy    runter auf 41 �
-2.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-25 11:36:57.995291']},CONTINENTAL,CONG-U,,0,0,0,FixedSizeRiskModel,230.0,0,0.43,24.08.2018 um 09:09, ANALYSE FLASH: Equinet senkt  f�r Continental auf 230 �   buy
2.0,{'SimplePatternNewsStrategy': ['BUY', '2018-08-25 11:36:57.996292']},Telefonaktiebolaget LM Ericsson (publ,ERIC,,8.65,8.39,289,FixedSizeRiskModel,5.2,8.53,0.71,24.08.2018 um 09:29, ANALYSE FLASH: Hauck & Aufh�user mit buy f�r Tele Columbus    5.20 �
-2.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-25 11:36:57.996292']},Federated Kaufmann R,KAUFX,,0,0,0,FixedSizeRiskModel,0,0,0.43,24.08.2018 um 09:43, ANALYSE: Aussichtsreicher Langweiler    HSBC r�t zum Kauf von Wacker Chemie
-2.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-25 11:36:57.997290']},Unternehmens Invest AG,UIA,,0,0,0,FixedSizeRiskModel,0,0,0.43,24.08.2018 um 12:08, ANALYSE: Warburg nennt Unternehmen mit Risiken und �berraschungspotenzial
-2.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-25 11:36:57.998289']},CONTINENTAL,CONG-U,,0,0,0,FixedSizeRiskModel,220.0,0,0.43,24.08.2018 um 13:25, ANALYSE FLASH: Warburg Research senkt  f�r Continental auf 220 �   buy
3.0,{'SimplePatternNewsStrategy': ['BUY', '2018-08-31 11:38:24.780673']},STROEER SE + CO. KGAA,SAX,,0,0,0,,72.0,0,0.89,29.08.2018 um 07:30, ANALYSE FLASH: HSBC hebt Str�er auf buy    72 �
3.0,{'SimplePatternNewsStrategy': ['BUY', '2018-08-31 11:38:24.780673']},United Technologies Corporation,UTX,,0,0,0,,56.0,132.59,0.89,29.08.2018 um 08:31, ANALYSE FLASH: Kepler Cheuvreux hebt United Internet auf buy    56 �
-3.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-31 11:38:24.780673']},China Television Company, Ltd.,9928,,0,0,0,,5.5,0,0.07,29.08.2018 um 08:46, ANALYSE FLASH: JPMorgan bel�sst Tele Columbus auf neutral    5.50 �
-3.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-31 11:38:24.780673']},Pacer Benchmark Retail RE SCTR ETF,RTL,,0,0,0,,69.0,28.56,0.07,29.08.2018 um 09:28, ANALYSE FLASH: Goldman bel�sst RTL auf neutral    69 �
3.0,{'SimplePatternNewsStrategy': ['BUY', '2018-08-31 11:38:24.780673']},AROUNDTOWN,AT1,,0,0,0,,9.0,0,0.89,29.08.2018 um 09:33, ANALYSE FLASH: Deutsche Bank hebt  f�r Aroundtown auf 9 �   buy
-2.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-31 11:38:24.780673']},DEKASTRUKTUR: 3 WACHSTUM,DEDP,,0,0,0,,0,0,0.43,29.08.2018 um 09:35, LEG IM FOKUS: Immobilienkonzern setzt beim Wachstum auf Zuk�ufe
-3.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-31 11:38:24.796298']},Pacer Benchmark Retail RE SCTR ETF,RTL,,0,0,0,,67.7,28.56,0.07,29.08.2018 um 09:47, ANALYSE FLASH: UBS bel�sst RTL auf neutral    67.70 �
-2.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-31 11:38:24.796298']},AROUNDTOWN,AT1,,0,0,0,,8.3,0,0.43,29.08.2018 um 09:48, ANALYSE FLASH: UBS bel�sst Aroundtown auf buy    8.30 �
3.0,{'SimplePatternNewsStrategy': ['BUY', '2018-08-31 11:38:24.796298']},CONTINENTAL,CONG-U,,0,0,0,,205.0,0,0.89,29.08.2018 um 12:02, ANALYSE FLASH: Metzler hebt Continental AG auf buy    runter auf 205 �
-2.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-31 11:38:24.796298']},Amazon.com, Inc.,AMZN,,0,0,0,,2500.0,2002.38,0.43,29.08.2018 um 14:31, ANALYSE/Morgan Stanley sieht bei Amazon Aktie Potenzial bis 2500 US Dollar
-2.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-31 11:38:24.796298']},Amazon.com, Inc.,AMZN,,0,0,0,,2500.0,2002.38,0.43,29.08.2018 um 17:57, WDH/ANALYSE: Morgan Stanley sieht bei Amazon Aktie Potenzial bis 2500 US Dollar
3.0,{'SimplePatternNewsStrategy': ['BUY', '2018-08-31 11:38:24.796298']},FMC Corporation,FMC,,0,0,0,,97.9,85.06,0.89,29.08.2018 um 22:58, ANALYSE FLASH: JPMorgan hebt  f�r FMC auf 97.90 �   overweight
3.0,{'SimplePatternNewsStrategy': ['BUY', '2018-08-31 11:38:24.796298']},WIRECARD,WDI,,0,0,0,,210.0,0,0.89,30.08.2018 um 07:35, ANALYSE FLASH: Berenberg hebt  f�r Wirecard auf 210 �   buy
2.0,{'SimplePatternNewsStrategy': ['BUY', '2018-08-31 11:38:24.796298']},PayPal,PYPL-USD,,0,0,0,,104.0,0,0.71,30.08.2018 um 07:45, ANALYSE FLASH: Berenberg startet Paypal mit buy    104 US Dollar
-3.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-31 11:38:24.796298']},Unibail-Rodamco-Westfield,1BR1,,0,0,0,,0,0,0.07,30.08.2018 um 08:00, ANALYSE FLASH: Goldman bel�sst Unibail Rodamco Westfield auf neutral
-3.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-31 11:38:24.796298']},Pacer Benchmark Retail RE SCTR ETF,RTL,,0,0,0,,69.0,28.56,0.19,30.08.2018 um 08:26, ANALYSE FLASH: SocGen senkt  f�r RTL auf 69 �   hold
3.0,{'SimplePatternNewsStrategy': ['BUY', '2018-08-31 11:38:24.796298']},DEUTSCHE TELEKOM,DTEL,,0,0,0,,0,0,0.89,30.08.2018 um 08:37, ANALYSE FLASH: Merrill Lynch hebt Deutsche Telekom auf buy    hoch
-3.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-31 11:38:24.796298']},Vodafone Group Plc,VOD,,0,0,0,,0,21.88,0.07,30.08.2018 um 08:41, ANALYSE FLASH: Merrill Lynch senkt Vodafone auf neutral    runter
3.0,{'SimplePatternNewsStrategy': ['BUY', '2018-08-31 11:38:24.796298']},Carl Data Solutions Inc.,CRL,,0,0,0,,33.0,121.56,0.89,30.08.2018 um 08:51, ANALYSE FLASH: Hauck & Aufh�user hebt SLM Solutions auf buy    33 �
-3.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-31 11:38:24.796298']},FIELMANN,FIE,,0,0,0,,61.0,0,0.19,30.08.2018 um 10:45, ANALYSE FLASH: Warburg Research bel�sst Fielmann auf hold    61 �
-3.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-31 11:38:24.796298']},H & M Hennes & Mauritz AB (publ,HM-B,,0,0,0,,0,0,0.19,31.08.2018 um 07:32, ANALYSE FLASH: JPMorgan senkt  f�r Hennes & Mauritz   underweight
-3.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-31 11:38:24.796298']},Beiersdorf,BEI,,0,0,0,,95.0,0,0.07,31.08.2018 um 07:56, ANALYSE FLASH: Credit Suisse senkt Beiersdorf auf neutral    95 �
-3.0,{'SimplePatternNewsStrategy': ['SELL', '2018-08-31 11:38:24.796298']},Deutsche Lufthansa AG,LHA,,0,0,0,,19.9,0,0.07,31.08.2018 um 08:31, ANALYSE FLASH: Citigroup senkt Lufthansa auf sell    19.90 �
